#front|back
沒|[méi] (=沒有 méiyǒu) haven't, there isn't; 有沒有? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?<br /><br />[mò] sink, overflow, disappear, confiscate
日|[rì] sun, (=日子 rìzi) day; 日記 rìjì diary; 日光 rìguāng sunlight<br /><br />{Compare with 曰 yuē say, 目 mù eye and 甘 gān sweet}
于|[yú] {family name}>, 於 in, at, for, to, from, by, than<br /><br />{Compare with 千 qiān thousand and 幹 gān stem}
起|[qǐ] rise, start; 起來 qǐlai get up; 對不起 duìbuqǐ excuse me<br /><br />[qi] (when used as a verb complement)
還|[hái] still, yet<br /><br />[huán] return, give back
发|[fā] 發 deliver, utter, express, shoot, emit, develop, expand<br /><br />[fà] 發 hair<br /><br />[fa] 發 頭發 tóufa hair
成|[chéng] (=成為 chéngwéi, =變成 biànchéng) become, {family name}>; 成功 chénggōng succeed; 完成 wánchéng accomplish, complete, fulfill; 成語 chéngyǔ idiom
事|[shì] matter, affair, thing, event, accident, job, responsibility; 事情 shìqing situation
祇|[zhǐ] only, just, merely, {classifier implying "one of a pair", animals, vessels, utensils, etc.}>; 一只貓 yì zhǐ māo a cat<br /><br />[zhī] 隻 single, one, only<br /><br />{Compare with 兄 xiōng brother}
作|[zuò] do, make; 工作 gōngzuò work; 作業 zuòyè homework<br /><br />[zuó] 作踐 zuójian spoil, waste, humiliate, insult<br /><br />[zuō] do
当|[dāng] 當 serve as, 當 ding-dong<br /><br />[dàng] 當 proper, right, equal, (=當作 dàngzuò) treat as, regard as
想|[xiǎng] think, feel, consider, want, remember
看|[kàn] see, look at, read, think, consider<br /><br />[kān] look after, tend; 看守 kānshǒu guard
文|[wén] language, literature, {family name}>; 文化 wénhuà culture; 中文 Zhōngwén Chinese (written) language
無|[wú] without, nothingness, have not<br /><br />[mó] 南無 nánmó {Sanskrit}> to give oneself totally to<br /><br />{Compare with 天 tiān heaven}
開|[kāi] open; 開始 kāishǐ begin 打開 dǎkāi open, unfold<br /><br />[kai] (when used as a verb complement)<br /><br />{Compare with 並 bìng combine}
手|[shǒu] hand, a person skilled in something; 揮手 huīshǒu wave; 拍手 pāishǒu clap; 握手 wòshǒu shake/clasp hands<br /><br />{Compare with 毛 máo hair}
十(A拾)|[shí] ten; 十三 shísān thirteen; 五十 wǔshí fifty; 十月 shíyuè October
用|[yòng] use; 好用 hǎoyòng useful; 不用 búyòng there's no need; 使用 shǐyòng use, apply<br /><br />{Compare with 甩 shuǎi swing}
主|[zhǔ] lord, master, host, god, (=主要 zhǔyào) main, primary; 主義 zhǔyì doctrine, ~ism; 主頁 zhùyè homepage<br /><br />{Compare with 王 wáng king}
行|[xíng] go, OK; 行動 xíngdòng action, operation, move, get about, act<br /><br />[háng] line; 銀行 yínháng bank; 行業 hángyè profession<br /><br />[hàng] 樹行子 shùhàngzi rows of trees<br /><br />[héng] (phonetic radical)
方|[fāng] side, square; 地方 dìfang place; 方面 fāngmiàn aspect<br /><br />{Compare with 萬 wàn ten thousand}
又|[yòu] again, both... and...
如|[rú] like, as, as if, (=如果 rúguǒ) if; 如此 rúcǐ like this
前|[qián] in front, previous, ago, former, first; 前天 the day before yesterday
所|[suǒ] place; 所以 suǒyǐ so, therefore; 所有 suǒyǒu all; 廁所 cèsuǒ toilet
本|[běn] basis, origin, edition, {classifier for books, periodicals, files, etc.}>; 本人 běnrén I, me, myself; 日本 Rìběn Japan<br /><br />{Compare with 木 mù tree}
見|[jiàn] appear to be, meet with, call on, (=看見 kànjian) see; 意見 yìjian idea, view, opinion; 聽見 tīngjiàn hear<br /><br />[xiàn] show, appear, become visible<br /><br />{Compare with 貝 bèi shellfish}
經|[jīng] longitude (both geographic and in Chinese medecin), scripture, constant, regular, {family name}>, deal with, (=經紀 jīngjì) manage (a business); 已經 yǐjing already; 經過 jīngguò pass, go through; 經驗 jīngyàn experience; 經由 jīngyóu via, by way of; 經常 jīngcháng frequent, daily; 易經 Yìjīng Book of Changes;
頭|[tóu] head, top, first, {classifier for livestock, garlic, etc.}>; 頭發 tóufa hair<br /><br />[tou] 石頭 shítou stone
面|[miàn] face, surface, {classifier for mirrors, flags, etc.}>, 麵 wheat flour, (=面條 miàntiáo) noodle; 面包 miànbāo bread
公|[gōng] public, official; 公裏 gōnglǐ kilometer; 辦公室 bàngōngshì office; 公司 gōngsī company; 公共 gōnggòng public, communal, common; 公共汽車 gōnggòngqìchē (public) bus; 李公 Lǐgōng (honorable and old) Mr Li
同|[tóng] same, with; 同誌 tóngzhì comrade<br /><br />[tòng] 衕 胡同 hútòng lane
三(A叁)|[sān] three; 第三世界 dì-sān shìjiè 3rd World; 三月 sānyuè March
已|[yǐ] stop, cease, end, (=已經 yǐjīng) already<br /><br />{Compare with 己 jǐ self, which is "open" on the left side}
老|[lǎo] old, venerable, outdated; 老師 lǎoshī teacher; 老虎 lǎohǔ tiger; 老張 lǎo Zhāng old Zhang = dear (friend) Mr Zhang
從|[cóng] from, through, join, follower, secondary<br /><br />[cōng] 黑從從 hēicōngcōng murky
動|[dòng] move, change, arouce; 動物 dòngwù animal; 活動 huódòng activity; 運動 yùndòng sports
兩|[liǎng] two (before classifier), 50 grams
長|[cháng] long, lasting, length<br /><br />[zhǎng] grow up, chief, head, older, elder
知|[zhī] realize, sense, inform, tell, (=知道 zhīdao) know; 知識 zhīshi knowledge<br /><br />[zhì] (=智 zhì) wit, (=智慧 zhìhuì) wisdom, (=智力 zhìlì) intellect
民|[mín] (=人民 rénmín) people, {family name}>; 民主 mǐnzhǔ democracy
樣|[yàng] appearance, shape, form, manner; 這樣 zhèyàng like this; 怎麽樣 zěnmeyàng how? in what way?
現|[xiàn] show, appear, current; 現在 xiànzài now; 發現 fāxiàn discover; 現代 xiàndài modern
分|[fēn] divide, fraction, minute, cent; 百分之五 bǎifēnzhīwǔ = 5/100 = 5%<br /><br />[fèn] limits of rights or duty
將|[jiāng] shall; 將來 jiānglái future<br /><br />[jiàng] general, a piece in Chinese chess 麻將 májiàng mahjongg
外|[wài] outside, outer, other, foreign, beyond, relative on ones mother's/sisters/wife's side; 外孫 wàisūn daugthers son; 外國人 wàiguórén foreigner; 意外 yìwài unexpected<br /><br />{Compare with 處 chù place}
但|[dàn] (=但是 dànshì) but, still, nevertheless, however, yet
身|[shēn] life, incarnation, {classifier for suits of clothing}>, (=身體 shēntǐ) body; 親身 qīnshēn in person, personally
些|[xiē] some, {classifier for plural or indefinite/small amount}>; 一些 yìxiē a number of, some; 這些人 zhèxiē rén these people
與|[yǔ] give, offer, help, support, and<br /><br />[yù] 參與 cānyù participate in<br /><br />[yú] 歟 {interrogative/esclamative particle}><br /><br />{Compare with 寫 xiě write}
高|[gāo] high, tall, loud, {polite}> your, {family name}>; 提高 tígāo improve; 高興 gāoxìng happy; 高見 gāojiàn {polite}> your opinion/idea
意|[yì] (=意思 yìsi, =意義 yìyì) meaning, idea, (=願意 yuànyi) wish, desire; 意圖 yìtú intention; 意見 yìjian opinion; 意大利 Yìdàlì Italy
進|[jìn] enter, go forward, recieve, drink, eat, submit; 進步 jìnbù progress
把|[bǎ] grasp, hold, handle, {classifier for things with handles, handfuls, chairs, etc.}><br /><br />[bà] 把子 bàzi, 把兒 bàr handle
法|[fǎ] (=法律 fǎlǜ) law, (=辦法 bànfǎ) method; 法國 Fǎguó France
此|[cǐ] this; 如此 rúcǐ (=這樣 zhèyàng) like this; 此地 cǐdì (=這裏 zhèlǐ) here, at this place
實|[shí] solid, true, real; 事實 shìshí fact; 實際上 shíjìshang actually; 實在 shízài really
回|[huí] circle, return, reply, turns, times, chapter, Muslim, Hui (ethnic minority), {classifier for chapters, times, etc.}>; 回來 huílái come back; 回去 huíqù go back; 回答 huídá answer
二(A贰)|[èr] two; 二月 èryuè February
理|[lǐ] principle; 理論 lǐlùn theory; 管理 guǎnlǐ manage; 心理 xīnlǐ psychology, mentality
美|[měi] (=美麗 meilì) beautiful, (=好 hǎo) good, (=美德 měidé) virtue, {family name}>; 美國 Měiguó USA; 美元 měiyuán US$ 美家 měijiā artist
點|[diǎn] a drop (of liquid), dot, decimal point, a little, a bit, appoint time, select, choose, order food/drink, {classifier for small amounts}>, (=點火 diǎnhuǒ) light a fire; 一點兒 yìdiǎnr a little; 點頭 diǎntóu nod one's head
月|[yuè] month, (=月亮 yuèliang, =月球 yuèqiú) moon
明|[míng] bright, clear, distinct, next (day or year), {family name}>; 明白 míngbai clear, understand; 明天 míngtiān tomorrow
其|[qí] its, that, such, they, them; 其他 qítā other; 尤其 yóuqí especially<br /><br />[jī] anniversary
種|[zhǒng] kind, sort, breed, race<br /><br />[zhòng] to plant, cultivate
聲|[shēng] voice, declaration, (=聲音 shēngyīn) sound, {classifier for sounds}>; 聲名 shēngmíng reputation, fame, statement, declaration
全|[quán] whole, entire, total, complete, {family name}>; 完全 wánquán completely; 安全 ānquán safety
工|[gōng] (=工作 gōngzuò) work, job; 工人 gōngrén worker
己|[jǐ] (=自己 zìjǐ) self<br /><br />{Compare with 已 yǐ already, which is "closed" on the left side}
話|[huà] speech, word, language, dialect, (=說話 shuōhuà) talk, speak<br /><br />[huo] 白話 báihuo = báihuà vernacular, empty talk
兒|[ér] child; 兒子 érzi son; 女兒 nǚ'ér daughter<br /><br />[r] (noun suffix); 這兒 zhèr here; 那兒 nàr there<br /><br />[rén] (when referring to the radical)<br /><br />{Compare with 兄 xiōng brother, 幾 jǐ table, 臾 yú moment}
者|[zhě] one who...; 作者 zuòzhě author; 和平主義者 hépíngzhǔyìzhě pacifist
向|[xiàng] take somebody's part, to, towards, all along, allways, {family name}>, 嚮 direction, towards, 嚮 formerly, previously; 向者 xiàngzhě formerly, once upon a time
情|[qíng] sensibility, (=感情 gǎnqíng) feeling, emotion; 愛情 àiqíng love
部|[bù] (=部分 bùfen) part, section, unit, {classifier for film, large books, machines, etc.}>, (=部隊 bùduì) troops, army; 西部 xībù western part; 全部 quánbù entire
正|[zhèng] right, straight, upright, correct<br /><br />[zhēng] 正月 zhēngyuè, 新正 xīnzhēng the 1st month of lunar year
名|[míng] (=名字 míngzi) name, personal name, reputation, famous, {classifier for persons with professional or prominent social identities, e.g. students, doctors, soldiers, workers}>; 著名 zhùmíng famous; 名詞 míngcí noun
定|[dìng] fix, settle, calm, stable, subscribe, (=決定 juédìng) decide; 一定 yídìng definite
女|[nǚ] female, (=女人 nǚrén, =婦女 fùnǚ) woman
問|[wèn] ask, examine; 問題 wèntí question, problem; 訪問 fǎngwèn visit
