#front|back
就|[jiù] just, simply, right away; 就要 jiùyào about to (do something); 这就是我! Zhè jiùshì wǒ! This is simply me!; 他就要去. Tā jiùyào qù. He is about to leave.
那|[nà] that<br /><br />[nèi] that (before classifier)<br /><br />[nuó] 禅那 chánnuó deep meditation<br /><br />[nuò] 无那 wúnuò helpless, unfortunately<br /><br />[nǎ] (=哪 nǎ) what?<br /><br />[něi] (=哪 něi before classifier) which?
要|[yào] want, will, shall, need, important, essential; 主要 zhǔyào main, fundamental<br /><br />[yāo] 要求 yāoqiú demand
下|[xià] below, under, (go) down, next (as opposed to previous/last)<br /><br />{Compare with 上 shàng above}
以|[yǐ] use, take, according to, because of, in order to; 可以 kěyǐ OK, may; 所以 suǒyǐ so, therefore, as a result; 以外 yǐwài beyond, except
生|[shēng] give birth, life; 先生 xiānsheng mister, gentleman, Sir
會|[huì] can, able, meet, meeting, society, union, party<br /><br />[kuài] 会计 kuàijì accounting<br /><br />[huǐ] 会儿 huìr moment
自|[zì] from, since, (=自己 zìjǐ) self; 自然 zìrán nature<br /><br />{Compare with 目 mù eye and 白 bái white}
著|[zhe] {verb particle marking a continuing progress/state}><br /><br />[zháo] touch<br /><br />[zhuó] wear clothes, dress, touch<br /><br />[zhāo] put in, add, (F招) make move in chess, trick, decieve<br /><br />[zhù] write, book<br /><br />[zhe] (S着)<br /><br />[zháo] (S着)<br /><br />[zhuó] (S着)<br /><br />[zhāo] (S着)
去|[qù] go, leave, depart (opposite of 来 lái)
之|[zhī] {subordinator similar to 的 de}>, it (in classical texts)
過|[guò] pass, cross, go by, exceed, {verb particle marking that someone has had the experience of doing something, that it has happened at least once}>; 过马路 guò mǎlù cross the street; 我去过中国两次. wǒ qùguo Zhōngguó liǎng cì. I have gone to China twice.
家|[jiā] home, house, family; 国家 guójiā nation; 大家 dàjiā everybody<br /><br />[jie] 整天家 zhěngtiānjie all day long; 家里 jiālǐ (at) home, (in the) family
學|[xué] study, learn; 学校 xuéxiào school; 学生 xuésheng student<br /><br />{Compare with 字 zì written character}
對|[duì] correct, answer, treat, agree, mutual, pair; 对不起 duìbuqǐ excuse me
可|[kě] ~able, (=可以 kěyǐ) may, can, (=可是 kěshì) but, however; 可爱 kě'ài loveable, cute; 可能 kě'néng possible, probable, maybe; 可口可乐 kěkǒukělè Coca Cola<br /><br />[kè] 可汗 kèhán khan
她|[tā] she, her
里|[lǐ] neighbourhood, half kilometer, {family name}>, (F裏,裡) in, inside, lining; 哪里? nǎli? where?; 那里 nàli there; 这里 zhèli here
后|[hòu] queen, (F後) after, behind, {family name}>; 后天 hòutiān the day after tomorrow
